animal_id,delay_time,n_unique_delays,avg_delay_time
W051,[2. 4. 3. 6. 5.],5,3.396923535121779
W060,[2. 3. 4. 6.],4,3.1332616601246825
W065,[3. 2. 4. 6.],4,3.700946616008758
W066,[3. 2. 4. 6. 5. 8. 7.],7,4.3495386669904095
W068,[3. 2. 4. 6.],4,3.438328516034202
W072,[3. 2. 4.],3,2.927422759547112
W073,[3. 2. 4.],3,2.9532073096133176
W074,[3. 2. 6. 4.],4,2.6442837773262524
W075,[3. 2. 4. 6.],4,3.565938522108967
W078,[2. 3.],2,2.498673652825887
W080,[3. 2. 4. 6.],4,2.9418115470435104
W081,[2. 3. 4. 6.],4,3.4826900648877968
W083,[2. 3. 4. 6.],4,3.594559195079387
W088,[3. 2. 4. 6.],4,3.495604042637425
W089,[2. 3. 4. 6.],4,3.4971405204549093
W094,[2. 3. 4. 6.],4,3.119525758225801
