animal_id,trained_session,n_rigs,n_delays,violation_rate,motor_learning_perf
W051,325,5,5,0.16216463104924064,0.7972846610916245
W060,247,6,3,0.13750649605310702,0.8589163242455811
W065,100,1,3,0.24822646524082187,0.8054197064504425
W066,285,4,5,0.3089698468234141,0.7959877077869099
W068,422,3,3,0.24478070590507478,0.7384678536909474
W072,144,1,2,0.3511823561557151,0.8218868146515889
W073,276,6,3,0.21357390147975483,0.7928908112894768
W074,144,4,2,0.23512157165008363,0.7687079989284021
W075,125,3,3,0.19754349305051946,0.8075586269454004
W078,106,2,2,0.2044367449578178,0.6747345795020449
W080,270,5,2,0.19365485641735875,0.7926154329465559
W081,480,5,4,0.2391882106795765,0.7282383132098669
W083,242,5,2,0.203687918596766,0.8261642155359071
W088,195,1,2,0.198627007186734,0.770946399474976
W089,127,1,2,0.15058113212182536,0.7771197045658547
W094,369,3,3,0.2888425064294705,0.798357610438957
