animal_id,n_crossings,time_to_train,min_cross_sess,post_train_hit_by_session,n_delays,motor_learning_viols,rule_learning_viols
W051,6,307,135,0.7924470922243464,9,0.20908949899177912,0.15435089664050347
W060,4,258,92,0.8256240248808153,4,0.22765009175915407,0.13616354375532969
W061,5,439,235,0.6866666666666666,12,0.32426470588235295,0.2559136468774094
W062,3,521,428,0.7319475713913496,4,0.3452985664296196,0.3054807879851765
W065,1,96,96,0.7755910731526989,4,0.19180191920388578,0.25346491546331906
W066,1,263,263,0.7833348209171018,10,0.1441253836036826,0.26672240802675584
W068,4,255,139,0.7595289720370902,4,0.18072453861927545,0.2712679575265459
W072,1,138,138,0.7874938067652595,3,0.3002869814766501,0.27732475499364106
W073,3,200,138,0.8348150876706387,3,0.248090026842866,0.2261833032068019
W074,1,144,144,0.8269551670354335,3,0.1572209084237136,0.18040765064496717
W075,3,314,113,0.7377646165266322,4,0.1422717080337122,0.20532413549128858
W078,1,113,113,0.8542794668359008,2,0.22254247572815533,0.17001338688085676
W080,7,246,119,0.7632846582158899,4,0.3865935405240707,0.3965665889035399
W081,2,315,308,0.7377646165266322,4,0.47167487684729065,0.504630890765459
W082,4,246,172,0.7632846582158899,5,0.5592621664050236,0.4882333672396255
W083,4,264,96,0.7833348209171018,10,0.42434644837602326,0.3341785293589155
W088,1,167,167,0.7903359778410238,4,0.41093560145808017,0.41131284916201116
W089,1,111,111,0.7862952728914199,4,0.35116437688784957,0.31007426089393303
W094,3,357,285,0.792658841983184,4,0.31141675053114165,0.34726998724834807
