index,animal_id,sigma,feature,weight,prev_violation_tau
244,W051,16.0,prev_violation_exp,0.854792009591917,2.0
251,W060,16.0,prev_violation_exp,1.0683897096676525,2.0
258,W065,0.13,prev_violation_exp,1.0286062367389703,2.0
265,W066,16.0,prev_violation_exp,1.0840385472639495,25.0
272,W068,16.0,prev_violation_exp,0.9167640701146059,40.0
279,W072,16.0,prev_violation_exp,1.1460129033224489,1.0
286,W073,16.0,prev_violation_exp,1.0114844176256033,2.0
293,W074,2.0,prev_violation_exp,2.5329890441334624,3.0
300,W075,0.25,prev_violation_exp,2.587184568622452,15.0
307,W078,0.13,prev_violation_exp,1.1221495283134388,1.0
314,W080,16.0,prev_violation_exp,1.1975184309387663,1.0
321,W081,16.0,prev_violation_exp,1.064010431279576,2.0
328,W082,16.0,prev_violation_exp,1.4071819894235313,15.0
335,W083,16.0,prev_violation_exp,1.76956466557845,10.0
342,W088,0.13,prev_violation_exp,1.5007813103190026,3.0
349,W089,1.0,prev_violation_exp,1.550595593929182,2.0
356,W094,0.5,prev_violation_exp,2.002312892254113,7.0
