animal_id,prev_violation_tau,prev_tns_viol_combo_tau,prev_tns_tau,prev_violation_tau_rs47_tau,prev_violation_tau_tau
W051,2.0,2.0,2.0,2.0,2.0
W060,2.0,2.0,1.0,2.0,2.0
W065,2.0,2.0,1.0,2.0,2.0
W066,25.0,20.0,2.0,20.0,20.0
W068,40.0,1.0,1.0,40.0,40.0
W072,1.0,1.0,1.0,1.0,1.0
W073,2.0,2.0,1.0,2.0,2.0
W074,3.0,3.0,1.0,3.0,3.0
W075,15.0,15.0,1.0,15.0,15.0
W078,1.0,1.0,0.51,1.0,1.0
W080,1.0,1.0,0.51,1.0,1.0
W081,2.0,2.0,1.0,2.0,2.0
W083,10.0,5.0,2.0,10.0,10.0
W088,3.0,2.0,2.0,3.0,3.0
W089,2.0,1.0,0.51,2.0,2.0
W094,7.0,6.0,1.0,7.0,7.0
