animal_id,model_name,nll,sigma,tau,features,weights
W051,t_0,147401.59411610255,0.0,0,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded']","[array([ 0.43177309,  0.38599436, -0.81776745]), array([-1.32950642, -1.24963654,  2.57914296]), array([-0.36579585,  0.36357668,  0.00221917]), array([ 0.58625567, -0.63464567,  0.04839   ]), array([-0.06763994,  0.0741831 , -0.00654316]), array([-0.18834671,  0.20050252, -0.01215581]), array([-0.1341209 ,  0.14045219, -0.00633129]), array([ 0.08155752,  0.15338328, -0.2349408 ])]"
W051,t_1,147348.86193933507,0.0,1,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_1']","[array([ 0.39347657,  0.32031662, -0.71379319]), array([-1.28588033, -1.17340677,  2.45928711]), array([-0.36591494,  0.36345511,  0.00245983]), array([ 0.58632268, -0.63466105,  0.04833837]), array([-0.06814363,  0.07365837, -0.00551474]), array([-0.18849895,  0.20076126, -0.01226231]), array([-0.13408303,  0.13967329, -0.00559026]), array([ 0.13806284,  0.24781868, -0.38588151])]"
W051,t_2,147401.95508427604,0.0,2,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_2']","[array([ 0.36240412,  0.26676875, -0.62917287]), array([-1.25439525, -1.11777027,  2.37216553]), array([-0.36599866,  0.36338103,  0.00261762]), array([ 0.58645148, -0.63458685,  0.04813536]), array([-0.06772687,  0.0748739 , -0.00714703]), array([-0.1891016 ,  0.20151506, -0.01241345]), array([-0.13519291,  0.1405687 , -0.00537579]), array([ 0.18330183,  0.32584611, -0.50914794])]"
W051,t_3,147469.51437634876,0.0,3,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_3']","[array([ 0.35146038,  0.25000878, -0.60146915]), array([-1.24718937, -1.10763631,  2.35482568]), array([-0.36601327,  0.36338795,  0.00262533]), array([ 0.58653049, -0.63451769,  0.0479872 ]), array([-0.06717028,  0.07625162, -0.00908134]), array([-0.18955712,  0.20209209, -0.01253497]), array([-0.13616485,  0.14175636, -0.00559152]), array([ 0.19970445,  0.35260765, -0.55231209])]"
W051,t_4,147519.5139162417,0.0,4,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_4']","[array([ 0.34907625,  0.25237224, -0.60144849]), array([-1.24936776, -1.11900155,  2.36836932]), array([-0.36600714,  0.36341635,  0.00259079]), array([ 0.58657698, -0.63445851,  0.04788153]), array([-0.06672341,  0.07738713, -0.01066372]), array([-0.18984113,  0.202469  , -0.01262787]), array([-0.13685975,  0.14275409, -0.00589434]), array([ 0.20405677,  0.35231687, -0.55637364])]"
W051,t_5,147552.2002454016,0.0,5,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_5']","[array([ 0.3489583 ,  0.26286827, -0.61182657]), array([-1.25356184, -1.1380833 ,  2.39164514]), array([-0.36599868,  0.36344825,  0.00255043]), array([ 0.58660542, -0.63441331,  0.04780789]), array([-0.06639996,  0.07825894, -0.01185897]), array([-0.19001369,  0.2027093 , -0.01269561]), array([-0.13733649,  0.14351545, -0.00617896]), array([ 0.20535447,  0.34009882, -0.54545329])]"
W051,t_6,147572.93299175566,0.0,6,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_6']","[array([ 0.34897147,  0.27586595, -0.62483742]), array([-1.25750537, -1.15839073,  2.4158961 ]), array([-0.36599494,  0.36347288,  0.00252206]), array([ 0.58662853, -0.63437378,  0.04774525]), array([-0.06616582,  0.07891603, -0.01275021]), array([-0.19012426,  0.20285889, -0.01273463]), array([-0.13766703,  0.14408018, -0.00641316]), array([ 0.20661942,  0.32383046, -0.53044988])]"
W051,t_7,147585.84979661455,0.0,7,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_7']","[array([ 0.34826154,  0.28835231, -0.63661385]), array([-1.26043331, -1.17686944,  2.43730275]), array([-0.36599588,  0.36349121,  0.00250467]), array([ 0.58664841, -0.6343434 ,  0.04769499]), array([-0.06599572,  0.07940562, -0.0134099 ]), array([-0.19020056,  0.20295365, -0.01275309]), array([-0.13789614,  0.14449445, -0.00659831]), array([ 0.20907884,  0.30789684, -0.51697569])]"
W051,t_9,147599.34417009354,0.0,9,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_9']","[array([ 0.3451562 ,  0.30934433, -0.65450053]), array([-1.26407856, -1.20678043,  2.470859  ]), array([-0.36600404,  0.36351893,  0.00248511]), array([ 0.58668143, -0.63430356,  0.04762213]), array([-0.0657672 ,  0.08005881, -0.01429161]), array([-0.1903017 ,  0.20305325, -0.01275155]), array([-0.13817675,  0.14503935, -0.0068626 ]), array([ 0.21672088,  0.28083194, -0.49755282])]"
W051,t_12,147606.08648362235,0.0,12,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_12']","[array([ 0.33895788,  0.33098099, -0.66993887]), array([-1.26720454, -1.23713104,  2.50433557]), array([-0.36602847,  0.36354095,  0.00248752]), array([ 0.58672994, -0.63426849,  0.04753855]), array([-0.06555308,  0.08059929, -0.01504621]), array([-0.19039702,  0.20310764, -0.01271062]), array([-0.13837733,  0.14548011, -0.00710278]), array([ 0.23067997,  0.25305128, -0.48373124])]"
W051,t_15,147607.97069052584,0.0,15,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_rewarded_exp_15']","[array([ 0.33377324,  0.3450728 , -0.67884604]), array([-1.27039227, -1.25701982,  2.52741209]), array([-0.36605608,  0.36355103,  0.00250504]), array([ 0.58677419, -0.63424823,  0.04747404]), array([-0.06540329,  0.0808949 , -0.0154916 ]), array([-0.19045823,  0.20311976, -0.01266153]), array([-0.13847378,  0.14571654, -0.00724276]), array([ 0.24294412,  0.2352419 , -0.47818602])]"
