animal_id,model_name,nll,sigma,tau,features,weights
W051,t_2,167746.2059422807,0.0,2,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_2']","[array([ 0.42853378,  0.4312797 , -0.85981348]), array([-0.35774727,  0.35517266,  0.00257461]), array([ 0.57273203, -0.6227839 ,  0.05005187]), array([-0.05737335,  0.07802791, -0.02065456]), array([-0.17972798,  0.19116887, -0.01144089]), array([-0.12962936,  0.1357674 , -0.00613804]), array([-1.15991401, -1.17841756,  2.33833157])]"
W051,t_3,166690.02639652445,0.0,3,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_3']","[array([ 0.46555155,  0.46788198, -0.93343353]), array([-0.35764185,  0.35546706,  0.00217479]), array([ 0.57293126, -0.62318422,  0.05025295]), array([-0.05865413,  0.07751948, -0.01886535]), array([-0.18197897,  0.19270123, -0.01072226]), array([-0.12996615,  0.13635   , -0.00638385]), array([-1.29705539, -1.31266269,  2.60971808])]"
W051,t_4,166503.31448588334,0.0,4,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_4']","[array([ 0.48628779,  0.48768912, -0.97397691]), array([-0.35765751,  0.35556569,  0.00209182]), array([ 0.57331026, -0.62304202,  0.04973175]), array([-0.05966208,  0.07731811, -0.01765602]), array([-0.18409562,  0.19405603, -0.00996041]), array([-0.13033571,  0.13695163, -0.00661592]), array([-1.38034741, -1.39054068,  2.77088809])]"
W051,t_5,166673.95831905314,0.0,5,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_5']","[array([ 0.49918169,  0.49946653, -0.99864821]), array([-0.35773544,  0.35557536,  0.00216008]), array([ 0.57373666, -0.62269157,  0.04895491]), array([-0.06042827,  0.0772826 , -0.01685433]), array([-0.18596754,  0.1952024 , -0.00923487]), array([-0.13065255,  0.1375119 , -0.00685935]), array([-1.43551174, -1.43957482,  2.87508656])]"
W051,t_6,167008.46011552244,0.0,6,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_6']","[array([ 0.507709  ,  0.50684445, -1.01455345]), array([-0.35785319,  0.35552667,  0.00232652]), array([ 0.57417529, -0.62225092,  0.04807563]), array([-0.0610177,  0.0773406, -0.0163229]), array([-0.18762826,  0.19616721, -0.00853895]), array([-0.13092442,  0.13801949, -0.00709506]), array([-1.47409777, -1.47209284,  2.94619062])]"
W051,t_7,167418.85758808441,0.0,7,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_7']","[array([ 0.51360196,  0.51157296, -1.02517492]), array([-0.35798028,  0.35545488,  0.0025254 ]), array([ 0.57458473, -0.62179503,  0.04721029]), array([-0.06149472,  0.07743678, -0.01594206]), array([-0.1891133 ,  0.19698521, -0.00787191]), array([-0.13116085,  0.13849042, -0.00732957]), array([-1.50228109, -1.49432319,  2.99660428])]"
W051,t_2,200521.4157354651,0.001,2,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_2']","[array([ 0.07686465,  0.08321265, -0.1600773 ]), array([-0.00182223, -0.00185878,  0.00368102]), array([ 0.04701501, -0.0523176 ,  0.00530259]), array([-0.00526617,  0.00615182, -0.00088566]), array([-0.03006913,  0.03052704, -0.00045791]), array([-0.02038235,  0.02077436, -0.00039201]), array([-0.01965414, -0.01960701,  0.03926115])]"
W051,t_3,200595.47518507708,0.001,3,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_3']","[array([ 0.07659324,  0.0829402 , -0.15953344]), array([-0.00182217, -0.00185868,  0.00368085]), array([ 0.0470152 , -0.05231746,  0.00530226]), array([-0.00526753,  0.00615071, -0.00088318]), array([-0.0300722 ,  0.03052871, -0.00045652]), array([-0.0203839 ,  0.02077635, -0.00039245]), array([-0.01872123, -0.01867151,  0.03739274])]"
W051,t_4,200656.26978678946,0.001,4,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_4']","[array([ 0.07636332,  0.08270599, -0.15906931]), array([-0.00182218, -0.00185866,  0.00368084]), array([ 0.04701534, -0.05231736,  0.00530201]), array([-0.00526824,  0.00615019, -0.00088195]), array([-0.03007421,  0.03052977, -0.00045556]), array([-0.02038488,  0.02077767, -0.00039279]), array([-0.0179269 , -0.01786252,  0.03578941])]"
W051,t_5,200707.07869601125,0.001,5,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_5']","[array([ 0.07616408,  0.08250159, -0.15866567]), array([-0.00182224, -0.0018587 ,  0.00368094]), array([ 0.04701543, -0.05231729,  0.00530186]), array([-0.00526865,  0.00614991, -0.00088125]), array([-0.03007566,  0.03053053, -0.00045487]), array([-0.02038557,  0.02077865, -0.00039308]), array([-0.01723671, -0.01715435,  0.03439106])]"
