animal_id,nll,model_name,n_test_trials,tau,log_like,bits_per_trial
W051,14808.88818877606,null,14534,6,-14808.88818877606,-1.4699813919792464
W051,14808.88818877606,null,14534,6,-14808.88818877606,-1.4699813919792464
W051,14808.88818877606,null,14534,6,-14808.88818877606,-1.4699813919792464
W051,13860.1005983927,base,14534,6,-13860.1005983927,0.09417993336335913
W051,13860.1005983927,base,14534,6,-13860.1005983927,0.09417993336335913
W051,13860.1005983927,base,14534,6,-13860.1005983927,0.09417993336335913
W051,13627.588535249943,violation,14534,6,-13627.588535249943,0.1172598838548218
W051,13627.588535249943,violation,14534,6,-13627.588535249943,0.1172598838548218
W051,13627.588535249943,violation,14534,6,-13627.588535249943,0.1172598838548218
W051,13377.8342573772,violation_filtered,14534,6,-13377.8342573772,0.14205135613552974
W051,13377.8342573772,violation_filtered,14534,6,-13377.8342573772,0.14205135613552974
W051,13377.8342573772,violation_filtered,14534,6,-13377.8342573772,0.14205135613552974
W060,10647.188846704255,null,10436,4,-10647.188846704255,-1.471890240374522
W060,10647.188846704255,null,10436,4,-10647.188846704255,-1.471890240374522
W060,10647.188846704255,null,10436,4,-10647.188846704255,-1.471890240374522
W060,9673.801121280672,base,10436,4,-9673.801121280672,0.13456320854070442
W060,9673.801121280672,base,10436,4,-9673.801121280672,0.13456320854070442
W060,9673.801121280672,base,10436,4,-9673.801121280672,0.13456320854070442
W060,9268.344013933614,violation,10436,4,-9268.344013933614,0.19061446937462398
W060,9268.344013933614,violation,10436,4,-9268.344013933614,0.19061446937462398
W060,9268.344013933614,violation,10436,4,-9268.344013933614,0.19061446937462398
W060,9026.23588602186,violation_filtered,10436,4,-9026.23588602186,0.22408401666258873
W060,9026.23588602186,violation_filtered,10436,4,-9026.23588602186,0.22408401666258873
W060,9026.23588602186,violation_filtered,10436,4,-9026.23588602186,0.22408401666258873
W061,8220.928367507493,null,7497,3,-8220.928367507493,-1.582005147033008
W061,8220.928367507493,null,7497,3,-8220.928367507493,-1.582005147033008
W061,8220.928367507493,null,7497,3,-8220.928367507493,-1.582005147033008
W061,7860.662413110889,base,7497,3,-7860.662413110889,0.06932825207537811
W061,7860.662413110889,base,7497,3,-7860.662413110889,0.06932825207537811
W061,7860.662413110889,base,7497,3,-7860.662413110889,0.06932825207537811
W061,7532.658281505606,violation,7497,3,-7532.658281505606,0.13244815791211717
W061,7532.658281505606,violation,7497,3,-7532.658281505606,0.13244815791211717
W061,7532.658281505606,violation,7497,3,-7532.658281505606,0.13244815791211717
W061,7335.090215672712,violation_filtered,7497,3,-7335.090215672712,0.1704674281288894
W061,7335.090215672712,violation_filtered,7497,3,-7335.090215672712,0.1704674281288894
W061,7335.090215672712,violation_filtered,7497,3,-7335.090215672712,0.1704674281288894
W062,6715.445475498649,null,6120,3,-6715.445475498649,-1.58306207268989
W062,6715.445475498649,null,6120,3,-6715.445475498649,-1.58306207268989
W062,6715.445475498649,null,6120,3,-6715.445475498649,-1.58306207268989
W062,6329.217132464946,base,6120,3,-6329.217132464946,0.09104733907605958
W062,6329.217132464946,base,6120,3,-6329.217132464946,0.09104733907605958
W062,6329.217132464946,base,6120,3,-6329.217132464946,0.09104733907605958
