animal_id,model_name,nll,sigma,tau,features,weights
W051,t_0,176809.14083713377,0.0,0,"['bias', 'prev_violation', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice']","[array([ 0.25027226,  0.25145768, -0.50172994]), array([-0.60049665, -0.61036382,  1.21086047]), array([-0.3583102 ,  0.35355658,  0.00475363]), array([ 0.57366639, -0.61821622,  0.04454982]), array([-0.05859162,  0.0793703 , -0.02077868]), array([-0.18220301,  0.19304785, -0.01084484]), array([-0.13271345,  0.13747842, -0.00476497])]"
W051,t_1,171218.59562089917,0.0,1,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_1']","[array([ 0.35068861,  0.35292544, -0.70361405]), array([-0.35803878,  0.35445723,  0.00358155]), array([ 0.57299116, -0.62101965,  0.04802849]), array([-0.05650662,  0.07891074, -0.02240411]), array([-0.17850082,  0.19036788, -0.01186706]), array([-0.13008091,  0.13566793, -0.00558702]), array([-0.90191436, -0.91811698,  1.82003135])]"
W051,t_2,167746.2059422807,0.0,2,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_2']","[array([ 0.42853378,  0.4312797 , -0.85981348]), array([-0.35774727,  0.35517266,  0.00257461]), array([ 0.57273203, -0.6227839 ,  0.05005187]), array([-0.05737335,  0.07802791, -0.02065456]), array([-0.17972798,  0.19116887, -0.01144089]), array([-0.12962936,  0.1357674 , -0.00613804]), array([-1.15991401, -1.17841756,  2.33833157])]"
W051,t_3,166690.02639652445,0.0,3,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_3']","[array([ 0.46555155,  0.46788198, -0.93343353]), array([-0.35764185,  0.35546706,  0.00217479]), array([ 0.57293126, -0.62318422,  0.05025295]), array([-0.05865413,  0.07751948, -0.01886535]), array([-0.18197897,  0.19270123, -0.01072226]), array([-0.12996615,  0.13635   , -0.00638385]), array([-1.29705539, -1.31266269,  2.60971808])]"
W051,t_5,166673.95831905314,0.0,5,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_5']","[array([ 0.49918169,  0.49946653, -0.99864821]), array([-0.35773544,  0.35557536,  0.00216008]), array([ 0.57373666, -0.62269157,  0.04895491]), array([-0.06042827,  0.0772826 , -0.01685433]), array([-0.18596754,  0.1952024 , -0.00923487]), array([-0.13065255,  0.1375119 , -0.00685935]), array([-1.43551174, -1.43957482,  2.87508656])]"
W051,t_7,167418.85758808441,0.0,7,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_7']","[array([ 0.51360196,  0.51157296, -1.02517492]), array([-0.35798028,  0.35545488,  0.0025254 ]), array([ 0.57458473, -0.62179503,  0.04721029]), array([-0.06149472,  0.07743678, -0.01594206]), array([-0.1891133 ,  0.19698521, -0.00787191]), array([-0.13116085,  0.13849042, -0.00732957]), array([-1.50228109, -1.49432319,  2.99660428])]"
W051,t_9,168317.5019109692,0.0,9,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_9']","[array([ 0.52069288,  0.51643654, -1.03712942]), array([-0.35824303,  0.35527008,  0.00297295]), array([ 0.57532451, -0.62089521,  0.0455707 ]), array([-0.06223544,  0.07767306, -0.01543762]), array([-0.19166045,  0.19831482, -0.00665437]), array([-0.1315652 ,  0.13933381, -0.00776861]), array([-1.53946634, -1.52054823,  3.06001457])]"
W051,t_12,169648.57892449957,0.0,12,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_12']","[array([ 0.52537358,  0.5179676 , -1.04334118]), array([-0.35863468,  0.35493014,  0.00370454]), array([ 0.57625411, -0.61966717,  0.04341306]), array([-0.06303149,  0.07802782, -0.01499633]), array([-0.19471281,  0.1998042 , -0.00509139]), array([-0.13207707,  0.14039871, -0.00832164]), array([-1.5699715 , -1.53630547,  3.10627697])]"
W051,t_15,170863.37577806038,0.0,15,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_15']","[array([ 0.52680512,  0.51643786, -1.04324297]), array([-0.35900667,  0.3545599 ,  0.00444676]), array([ 0.57702418, -0.6185856 ,  0.04156143]), array([-0.06362232,  0.07833846, -0.01471614]), array([-0.19713804,  0.20091585, -0.00377781]), array([-0.13252043,  0.14128579, -0.00876536]), array([-1.58604142, -1.53911165,  3.12515307])]"
W051,t_18,171943.6204884134,0.0,18,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_18']","[array([ 0.52680941,  0.51373408, -1.04054349]), array([-0.35935208,  0.35418599,  0.00516609]), array([ 0.57766941, -0.61764363,  0.03997422]), array([-0.06409267,  0.07860365, -0.01451099]), array([-0.19913635,  0.20179053, -0.00265419]), array([-0.13291905,  0.14203275, -0.0091137 ]), array([-1.59525259, -1.53660891,  3.1318615 ])]"
W051,t_20,172595.05612415733,0.0,20,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_20']","[array([ 0.5264796 ,  0.51167476, -1.03815436]), array([-0.35956374,  0.35394574,  0.00561799]), array([ 0.57804226, -0.61708668,  0.03904442]), array([-0.0643604 ,  0.07875753, -0.01439712]), array([-0.20028554,  0.20227832, -0.00199278]), array([-0.13316225,  0.14247277, -0.00931051]), array([-1.59954253, -1.53357759,  3.13312012])]"
W051,t_25,174008.48697825318,0.0,25,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_25']","[array([ 0.525226  ,  0.50635432, -1.03158032]), array([-0.36002904,  0.35339444,  0.00663461]), array([ 0.5788185 , -0.61590158,  0.03708308]), array([-0.06491026,  0.0790821 , -0.01417183]), array([-0.20268223,  0.20326806, -0.00058583]), array([-0.13369424,  0.1434143 , -0.00972007]), array([-1.60710064, -1.52431079,  3.13141142])]"
W051,t_30,175166.38962966207,0.0,30,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_30']","[array([ 0.52399762,  0.50141876, -1.02541638]), array([-0.36041501,  0.35291663,  0.00749838]), array([ 0.57942056, -0.61496281,  0.03554225]), array([-0.06534867,  0.07932946, -0.01398079]), array([-0.2045612 ,  0.20403021,  0.00053099]), array([-0.13415349,  0.1441705 , -0.01001701]), array([-1.61303478, -1.51528242,  3.12831721])]"
W051,t_0,176808.3480055516,0.1,0,"['bias', 'prev_violation', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice']","[array([ 0.24966045,  0.25084783, -0.50050828]), array([-0.59878527, -0.6085271 ,  1.2073121 ]), array([-0.35742707,  0.35263514,  0.00479179]), array([ 0.57261647, -0.61705676,  0.04444045]), array([-0.05855599,  0.07925197, -0.02069606]), array([-0.18215669,  0.1929562 , -0.01079945]), array([-0.13258288,  0.1373339 , -0.00475101])]"
W051,t_1,171218.4015620137,0.1,1,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_1']","[array([ 0.34902522,  0.35124292, -0.70026814]), array([-0.35715729,  0.35352168,  0.0036356 ]), array([ 0.57196045, -0.61979724,  0.0478368 ]), array([-0.05652104,  0.07878004, -0.022259  ]), array([-0.17852744,  0.19031507, -0.01178763]), array([-0.12998586,  0.13554657, -0.00556071]), array([-0.8974317 , -0.91334837,  1.81078008])]"
W051,t_2,167747.0521026231,0.1,2,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_2']","[array([ 0.4253841 ,  0.42808771, -0.85347181]), array([-0.35686743,  0.35422327,  0.00264417]), array([ 0.57172314, -0.62149413,  0.04977099]), array([-0.05741637,  0.07789724, -0.02048087]), array([-0.17980502,  0.19114446, -0.01133944]), array([-0.12956607,  0.13566324, -0.00609717]), array([-1.15099987, -1.16906812,  2.32006799])]"
W051,t_3,166691.50329808734,0.1,3,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice', 'prev_violation_exp_3']","[array([ 0.46131548,  0.46359942, -0.9249149 ]), array([-0.35676075,  0.35451148,  0.00224923]), array([ 0.57192998, -0.62185946,  0.04992953]), array([-0.05870265,  0.07739591, -0.01869326]), array([-0.18207275,  0.19268839, -0.01061565]), array([-0.12991967,  0.13625459, -0.00633486]), array([-1.28457917, -1.29974009,  2.5843192 ])]"
