animal_id,model_name,nll,sigma,tau,features,weights,n_test_trials,test_sessions,n_train_trials,train_sessions
W051,t_0,13860.560137746455,0.13,0,"['bias', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice']","[array([ 0.31539771,  0.30239037, -0.61778809]), array([-0.34896442,  0.37060878, -0.02164435]), array([ 0.45728028, -0.49035389,  0.03307361]), array([-0.06722394,  0.0834968 , -0.01627286]), array([-0.17227766,  0.14794882,  0.02432884]), array([-0.08896221,  0.12336166, -0.03439945])]",14534,"[ 98  66  68 143  93  32  71 187 113 141 138 160 133 172  92 158  94  36
 151  46 142 116  76  41 146 178  49 129 173  67 136 164  78  70 162  31
  85 152  73 159 181  40]",40899,"[139 195  55 101  69 123  34  95 153  75  42 191 155 150 134 183  77 109
 107 105  51 185 100  88 125  50  53  89 128 114 193  91 112 188 157  74
  80  45  61 171  72 108 148 127  48 122 180 190  44 161 124  59  60  63
 186 177 130  43 119 179 137 135 184 167  56 163 140  37 147  57 120 149
 169 176  62 131  87  64 196 126 175 170 189  47 174  33 106  83 115  82
 121 117  99 156  52  58 110 168 132  35  97  65 104  79  84 182 192 154
 118  96 145  81  86 144 194  38  90  54 111 103  39 102 165 166]"
W051,t_1,13517.000676496496,0.13,1,"['bias', 'prev_violation_exp_1', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice']","[array([ 0.42022999,  0.43433419, -0.85456418]), array([-0.4879862 , -0.69488452,  1.18287073]), array([-0.34265763,  0.37944304, -0.0367854 ]), array([ 0.45321706, -0.49719666,  0.0439796 ]), array([-0.06238977,  0.08353724, -0.02114748]), array([-0.17033824,  0.13793026,  0.03240797]), array([-0.08272777,  0.12364647, -0.0409187 ])]",14534,"[ 98  66  68 143  93  32  71 187 113 141 138 160 133 172  92 158  94  36
 151  46 142 116  76  41 146 178  49 129 173  67 136 164  78  70 162  31
  85 152  73 159 181  40]",40899,"[139 195  55 101  69 123  34  95 153  75  42 191 155 150 134 183  77 109
 107 105  51 185 100  88 125  50  53  89 128 114 193  91 112 188 157  74
  80  45  61 171  72 108 148 127  48 122 180 190  44 161 124  59  60  63
 186 177 130  43 119 179 137 135 184 167  56 163 140  37 147  57 120 149
 169 176  62 131  87  64 196 126 175 170 189  47 174  33 106  83 115  82
 121 117  99 156  52  58 110 168 132  35  97  65 104  79  84 182 192 154
 118  96 145  81  86 144 194  38  90  54 111 103  39 102 165 166]"
W051,t_2,13440.013771522485,0.13,2,"['bias', 'prev_violation_exp_2', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice']","[array([ 0.44394924,  0.46984665, -0.91379589]), array([-0.63142563, -0.92407974,  1.55550537]), array([-0.34132356,  0.38178389, -0.04046033]), array([ 0.45275726, -0.49847958,  0.04572232]), array([-0.06232796,  0.08430388, -0.02197592]), array([-0.16863551,  0.14160177,  0.02703374]), array([-0.08472823,  0.12138296, -0.03665472])]",14534,"[ 98  66  68 143  93  32  71 187 113 141 138 160 133 172  92 158  94  36
 151  46 142 116  76  41 146 178  49 129 173  67 136 164  78  70 162  31
  85 152  73 159 181  40]",40899,"[139 195  55 101  69 123  34  95 153  75  42 191 155 150 134 183  77 109
 107 105  51 185 100  88 125  50  53  89 128 114 193  91 112 188 157  74
  80  45  61 171  72 108 148 127  48 122 180 190  44 161 124  59  60  63
 186 177 130  43 119 179 137 135 184 167  56 163 140  37 147  57 120 149
 169 176  62 131  87  64 196 126 175 170 189  47 174  33 106  83 115  82
 121 117  99 156  52  58 110 168 132  35  97  65 104  79  84 182 192 154
 118  96 145  81  86 144 194  38  90  54 111 103  39 102 165 166]"
W051,t_3,13413.922877120687,0.13,3,"['bias', 'prev_violation_exp_3', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice']","[array([ 0.45367378,  0.48726829, -0.94094207]), array([-0.70612894, -1.05320732,  1.75933625]), array([-0.34055758,  0.383191  , -0.04263343]), array([ 0.45256404, -0.49909538,  0.04653134]), array([-0.06232834,  0.08503822, -0.02270987]), array([-0.16760215,  0.14462622,  0.02297592]), array([-0.08609372,  0.12010295, -0.03400922])]",14534,"[ 98  66  68 143  93  32  71 187 113 141 138 160 133 172  92 158  94  36
 151  46 142 116  76  41 146 178  49 129 173  67 136 164  78  70 162  31
  85 152  73 159 181  40]",40899,"[139 195  55 101  69 123  34  95 153  75  42 191 155 150 134 183  77 109
 107 105  51 185 100  88 125  50  53  89 128 114 193  91 112 188 157  74
  80  45  61 171  72 108 148 127  48 122 180 190  44 161 124  59  60  63
 186 177 130  43 119 179 137 135 184 167  56 163 140  37 147  57 120 149
 169 176  62 131  87  64 196 126 175 170 189  47 174  33 106  83 115  82
 121 117  99 156  52  58 110 168 132  35  97  65 104  79  84 182 192 154
 118  96 145  81  86 144 194  38  90  54 111 103  39 102 165 166]"
W051,t_4,13406.082871109458,0.13,4,"['bias', 'prev_violation_exp_4', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice']","[array([ 0.45805794,  0.49708186, -0.9551398 ]), array([-0.75030024, -1.135374  ,  1.88567424]), array([-0.34011273,  0.38407109, -0.04395836]), array([ 0.452457  , -0.49944772,  0.04699072]), array([-0.0623373 ,  0.08560269, -0.02326539]), array([-0.16695616,  0.14682152,  0.02013464]), array([-0.08690784,  0.11943492, -0.03252708])]",14534,"[ 98  66  68 143  93  32  71 187 113 141 138 160 133 172  92 158  94  36
 151  46 142 116  76  41 146 178  49 129 173  67 136 164  78  70 162  31
  85 152  73 159 181  40]",40899,"[139 195  55 101  69 123  34  95 153  75  42 191 155 150 134 183  77 109
 107 105  51 185 100  88 125  50  53  89 128 114 193  91 112 188 157  74
  80  45  61 171  72 108 148 127  48 122 180 190  44 161 124  59  60  63
 186 177 130  43 119 179 137 135 184 167  56 163 140  37 147  57 120 149
 169 176  62 131  87  64 196 126 175 170 189  47 174  33 106  83 115  82
 121 117  99 156  52  58 110 168 132  35  97  65 104  79  84 182 192 154
 118  96 145  81  86 144 194  38  90  54 111 103  39 102 165 166]"
W051,t_5,13405.84112229785,0.13,5,"['bias', 'prev_violation_exp_5', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice']","[array([ 0.45990311,  0.50309038, -0.96299349]), array([-0.77800764, -1.19225125,  1.97025889]), array([-0.33986099,  0.38464022, -0.04477924]), array([ 0.45237999, -0.49969374,  0.04731375]), array([-0.06236826,  0.08600805, -0.02363979]), array([-0.16653142,  0.14844398,  0.01808743]), array([-0.08740669,  0.11908489, -0.0316782 ])]",14534,"[ 98  66  68 143  93  32  71 187 113 141 138 160 133 172  92 158  94  36
 151  46 142 116  76  41 146 178  49 129 173  67 136 164  78  70 162  31
  85 152  73 159 181  40]",40899,"[139 195  55 101  69 123  34  95 153  75  42 191 155 150 134 183  77 109
 107 105  51 185 100  88 125  50  53  89 128 114 193  91 112 188 157  74
  80  45  61 171  72 108 148 127  48 122 180 190  44 161 124  59  60  63
 186 177 130  43 119 179 137 135 184 167  56 163 140  37 147  57 120 149
 169 176  62 131  87  64 196 126 175 170 189  47 174  33 106  83 115  82
 121 117  99 156  52  58 110 168 132  35  97  65 104  79  84 182 192 154
 118  96 145  81  86 144 194  38  90  54 111 103  39 102 165 166]"
W051,t_6,13409.430410759995,0.13,6,"['bias', 'prev_violation_exp_6', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice']","[array([ 0.4604726 ,  0.50691554, -0.96738814]), array([-0.79643885, -1.23366518,  2.03010403]), array([-0.3397246 ,  0.38500853, -0.04528393]), array([ 0.45234047, -0.49984749,  0.04750702]), array([-0.06241074,  0.08630692, -0.02389618]), array([-0.16625432,  0.14965111,  0.0166032 ]), array([-0.08772815,  0.11891067, -0.03118253])]",14534,"[ 98  66  68 143  93  32  71 187 113 141 138 160 133 172  92 158  94  36
 151  46 142 116  76  41 146 178  49 129 173  67 136 164  78  70 162  31
  85 152  73 159 181  40]",40899,"[139 195  55 101  69 123  34  95 153  75  42 191 155 150 134 183  77 109
 107 105  51 185 100  88 125  50  53  89 128 114 193  91 112 188 157  74
  80  45  61 171  72 108 148 127  48 122 180 190  44 161 124  59  60  63
 186 177 130  43 119 179 137 135 184 167  56 163 140  37 147  57 120 149
 169 176  62 131  87  64 196 126 175 170 189  47 174  33 106  83 115  82
 121 117  99 156  52  58 110 168 132  35  97  65 104  79  84 182 192 154
 118  96 145  81  86 144 194  38  90  54 111 103  39 102 165 166]"
W051,t_7,13414.471468764967,0.13,7,"['bias', 'prev_violation_exp_7', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice']","[array([ 0.46031474,  0.50931165, -0.96962639]), array([-0.80903291, -1.26450436,  2.07353727]), array([-0.33966933,  0.38522451, -0.04555518]), array([ 0.45232207, -0.49994106,  0.04761898]), array([-0.06247163,  0.08650827, -0.02403664]), array([-0.16607362,  0.15056828,  0.01550535]), array([-0.08794293,  0.11883357, -0.03089063])]",14534,"[ 98  66  68 143  93  32  71 187 113 141 138 160 133 172  92 158  94  36
 151  46 142 116  76  41 146 178  49 129 173  67 136 164  78  70 162  31
  85 152  73 159 181  40]",40899,"[139 195  55 101  69 123  34  95 153  75  42 191 155 150 134 183  77 109
 107 105  51 185 100  88 125  50  53  89 128 114 193  91 112 188 157  74
  80  45  61 171  72 108 148 127  48 122 180 190  44 161 124  59  60  63
 186 177 130  43 119 179 137 135 184 167  56 163 140  37 147  57 120 149
 169 176  62 131  87  64 196 126 175 170 189  47 174  33 106  83 115  82
 121 117  99 156  52  58 110 168 132  35  97  65 104  79  84 182 192 154
 118  96 145  81  86 144 194  38  90  54 111 103  39 102 165 166]"
W051,t_8,13420.700082120056,0.13,8,"['bias', 'prev_violation_exp_8', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice']","[array([ 0.45973458,  0.5107052 , -0.97043977]), array([-0.81782727, -1.28762539,  2.10545267]), array([-0.33966523,  0.38533781, -0.04567259]), array([ 0.45233455, -0.49996068,  0.04762612]), array([-0.06253403,  0.08666541, -0.02413138]), array([-0.16595972,  0.15127046,  0.01468927]), array([-0.0880943 ,  0.11882029, -0.03072598])]",14534,"[ 98  66  68 143  93  32  71 187 113 141 138 160 133 172  92 158  94  36
 151  46 142 116  76  41 146 178  49 129 173  67 136 164  78  70 162  31
  85 152  73 159 181  40]",40899,"[139 195  55 101  69 123  34  95 153  75  42 191 155 150 134 183  77 109
 107 105  51 185 100  88 125  50  53  89 128 114 193  91 112 188 157  74
  80  45  61 171  72 108 148 127  48 122 180 190  44 161 124  59  60  63
 186 177 130  43 119 179 137 135 184 167  56 163 140  37 147  57 120 149
 169 176  62 131  87  64 196 126 175 170 189  47 174  33 106  83 115  82
 121 117  99 156  52  58 110 168 132  35  97  65 104  79  84 182 192 154
 118  96 145  81  86 144 194  38  90  54 111 103  39 102 165 166]"
W051,t_10,13433.872084572326,0.13,10,"['bias', 'prev_violation_exp_10', 's_a', 's_b', 'prev_sound_avg', 'prev_correct', 'prev_choice']","[array([ 0.45758492,  0.51168713, -0.96927205]), array([-0.826226  , -1.31949243,  2.14571844]), array([-0.3397659 ,  0.38537739, -0.04561149]), array([ 0.45241059, -0.49990514,  0.04749456]), array([-0.06266985,  0.08687293, -0.02420308]), array([-0.16586588,  0.15226407,  0.01360181]), array([-0.08831465,  0.11884567, -0.03053103])]",14534,"[ 98  66  68 143  93  32  71 187 113 141 138 160 133 172  92 158  94  36
 151  46 142 116  76  41 146 178  49 129 173  67 136 164  78  70 162  31
  85 152  73 159 181  40]",40899,"[139 195  55 101  69 123  34  95 153  75  42 191 155 150 134 183  77 109
 107 105  51 185 100  88 125  50  53  89 128 114 193  91 112 188 157  74
  80  45  61 171  72 108 148 127  48 122 180 190  44 161 124  59  60  63
 186 177 130  43 119 179 137 135 184 167  56 163 140  37 147  57 120 149
 169 176  62 131  87  64 196 126 175 170 189  47 174  33 106  83 115  82
 121 117  99 156  52  58 110 168 132  35  97  65 104  79  84 182 192 154
 118  96 145  81  86 144 194  38  90  54 111 103  39 102 165 166]"
