trial,violation,prev_violation,prev_violation_exp_tau5,prev_violation_exp_tau1,s_a,s_b,s_a_x_prev_violation
1,0,0,0.0,0.0,-1.5857060450898193,-0.5887380054099471,-0.0
2,1,0,0.0,0.0,-0.749136332308654,0.1722444718053146,-0.0
3,0,1,0.6720974645719121,0.8928571428571428,-1.5857060450898193,-0.5887380054099471,-1.5857060450898193
4,0,0,0.5502668633107638,0.3284637867602163,-0.749136332308654,-1.349720482625209,-0.0
5,0,0,0.4505204033922806,0.12083507431840419,0.08743338047251134,-0.5887380054099471,0.0
6,0,0,0.36885490914635805,0.04445273961416423,0.9240030932536767,1.694209426235838,0.0
7,1,0,0.3019928575419083,0.016353249007798373,0.08743338047251134,0.9332269490205763,0.0
8,0,1,0.9193483042513705,0.8928571428571428,0.9240030932536767,1.694209426235838,0.9240030932536767
9,0,0,0.75269872948069,0.3284637867602163,0.9240030932536767,1.694209426235838,0.0
10,0,0,0.6162575976285656,0.12083507431840419,1.760572806034842,0.9332269490205763,0.0
